label,pixel10,pixel11,pixel12,pixel13,pixel14,pixel15,pixel16,pixel17,pixel18,pixel19,pixel20,pixel21,pixel22,pixel23
0,0,0,34,29,7,0,11,24,0,0,3,3,1,0
1,0,0,209,190,181,150,170,193,180,219,5,0,0,0
2,17,0,0,0,0,0,0,0,0,12,94,68,14,0
2,161,212,138,150,169,164,176,202,255,183,26,0,0,0
3,0,37,0,0,0,0,0,0,17,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,34,68,34
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,108,25,0,0,0,132,54,0,0,0,2,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,92,66,0,0,0,0,81,91,0,0,0,0,0
3,0,83,142,50,0,0,0,0,85,145,31,0,0,0
4,0,21,153,100,88,81,130,50,0,0,0,0,0,0
4,0,0,0,0,2,0,0,0,0,0,2,0,0,0
6,0,0,142,122,94,95,136,177,13,0,0,2,1,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,91,167,142,143,166,148,0,0,0,1,1,1
3,132,121,148,148,145,151,151,154,138,120,145,0,0,0
6,2,0,114,255,210,205,253,112,0,0,2,3,0,0
4,0,0,0,129,129,113,149,115,0,0,0,0,0,0
4,0,0,47,228,180,175,182,207,172,0,0,0,0,0
4,0,0,74,152,119,98,116,98,0,0,0,0,0,0
2,0,12,111,32,10,5,79,34,0,0,0,4,0,0
1,4,0,7,167,136,137,136,135,131,120,157,21,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,0,0,96,197,192,80,0,0,0,0,0,0,0
4,0,0,17,125,111,133,91,34,0,0,0,0,0,0
4,0,11,116,177,198,206,159,82,0,0,0,0,0,0
1,18,8,9,3,1,2,2,16,14,5,19,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,7,0,18,157,199,203,183,107,0,0,5,0,0
1,0,0,0,0,0,88,116,92,0,0,0,0,0,0
0,77,110,87,60,39,38,38,63,102,183,76,41,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,51,13,0,0
8,0,0,1,0,78,102,0,0,2,0,0,0,0,0
2,146,97,0,0,0,0,0,0,141,116,38,0,0,2
0,170,78,7,0,0,0,4,35,120,182,61,0,0,0
4,0,0,76,134,135,126,137,85,0,0,2,0,0,0
6,7,130,140,113,86,63,68,66,55,67,21,0,0,0
2,26,60,148,38,4,4,21,75,201,65,21,0,0,0
0,129,236,209,148,110,117,124,169,232,197,87,0,0,0
3,0,0,0,101,0,0,91,0,0,0,0,0,0,0
3,36,133,144,110,68,37,62,92,117,123,8,0,0,0
2,141,147,75,68,64,65,119,168,147,35,0,0,0,0